team,manager,start_date,before_5_matches,before_5_ppg,before_5_goal_diff_per_match,before_5_xg_diff_per_match,after_5_matches,after_5_ppg,after_5_goal_diff_per_match,after_5_xg_diff_per_match,after_10_matches,after_10_ppg,after_10_goal_diff_per_match,after_10_xg_diff_per_match
Everton,David Moyes,2025-01-15,5.0,0.6,-0.6,-1.3915578,5.0,2.0,1.0,0.8047474000000001,10.0,1.7,0.6,0.5528881000000001
Leicester,Ben Dawson,2024-11-30,5.0,0.8,-1.0,-0.5935506000000002,5.0,0.8,-1.6,-1.0439572000000001,10.0,0.4,-1.7,-1.0023182
Leicester,Ruud van Nistelrooy,2024-12-03,5.0,0.2,-1.8,-0.9379096,5.0,0.8,-1.4,-1.1173742,10.0,0.7,-1.3,-0.8582027
Man United,Ruud van Nistelrooy,2024-11-03,5.0,1.0,-0.6,-0.7407807999999998,5.0,1.6,1.0,-0.13290420000000003,10.0,1.1,-0.2,0.03102159999999996
Man United,Rúben Amorim,2024-11-24,5.0,1.6,0.6,0.4381380000000001,5.0,1.4,0.4,-0.04138320000000002,10.0,1.1,-0.3,-0.09050690000000003
Southampton,Simon Rusk,2024-12-22,5.0,0.2,-2.2,-2.2507118,5.0,0.2,-1.8,-1.910297,10.0,0.4,-1.7,-1.9765649
Southampton,Ivan Jurić,2024-12-26,5.0,0.4,-2.0,-2.1155156,5.0,0.0,-2.0,-1.9367872,10.0,0.3,-2.1,-2.0930431
Southampton,Simon Rusk,2025-04-12,5.0,0.2,-1.8,-1.5984660000000002,5.0,0.4,-1.2,-1.2425274,7.0,0.2857142857142857,-1.2857142857142858,-1.3784690000000002
West Ham,Graham Potter,2025-01-14,5.0,1.0,-1.4,-0.7738381999999999,5.0,0.8,-0.6,-0.8054821999999998,10.0,1.1,-0.2,-0.38101840000000003
Wolves,Vítor Pereira,2024-12-22,5.0,0.6,-1.0,-0.49216799999999994,5.0,1.4,-0.2,-0.4311940000000001,10.0,1.3,-0.2,-0.2694254
